names,position,nationality,mins played,shots,shots on target,goals,xG,chances created,assists,xA,passes,completed,tackles won,int,rec,avg distance,avg progress,shot-ending carry,goal-ending carry,end in chance,end in assist,shot-ending,goal-ending,total xG
DECLAN RICE,3,ENG,539,1,1,0,0.03,1,0,0.11,317,0.9,5,12,27,11.3,3.4,0,0,0,0,12,3,3.23
JADON SANCHO,4,ENG,97,0,0,0,0,0,0,0.03,47,0.91,1,1,4,11.7,3.9,0,0,0,0,2,2,0.98
LEROY SANÉ,4,ENG,111,1,0,0,0.06,1,0,0.12,57,0.86,0,0,2,11.2,3.7,0,0,0,0,2,0,0.09
PHIL FODEN,4,ENG,159,2,0,0,0.1,2,0,0.08,71,0.87,0,0,6,8.9,2.5,1,0,1,0,7,0,0.96
BUKAYO SAKA,4,ENG,272,0,0,0,0,1,0,0.07,81,0.79,2,3,15,10.3,4.5,0,0,0,0,4,0,0.49
RAHEEM STERLING,4,ENG,641,14,8,3,3.82,2,1,1.18,193,0.85,5,4,23,13,6.7,3,0,3,1,24,6,7.08
HARRY KANE,4,ENG,649,15,7,4,3.57,5,0,0.39,159,0.7,0,3,8,10.5,3.1,2,0,2,0,21,7,6.38
JACK GREALISH,4,ENG,173,2,1,0,0.1,1,2,0.87,71,0.85,0,1,10,13.2,5.6,0,0,1,0,7,2,1.8
TYRONE MINGS,1,ENG,191,0,0,0,0,1,0,0.04,135,0.87,0,5,12,9.1,0.2,0,0,0,0,3,1,0.65
MASON MOUNT,4,ENG,464,7,2,0,0.86,2,0,1.08,149,0.86,6,1,16,10.4,5.8,2,0,0,0,12,2,2.35
KALVIN PHILLIPS,3,ENG,665,4,1,0,0.12,2,1,0.62,336,0.86,4,7,45,9,0,1,0,1,1,16,2,3.57
JOHN STONES,1,ENG,679,5,1,0,0.55,0,0,0.05,468,0.94,3,5,31,9.8,2.8,0,0,0,0,10,2,2.67
AYMERIC LAPORTE,1,ESP,630,2,1,1,0.19,1,0,0.63,674,0.93,2,5,32,10.3,7.2,0,0,0,0,32,5,6.81
JORDI ALBA,2,ESP,553,2,1,0,0.06,11,1,2.41,500,0.88,6,4,45,8.6,4,0,0,1,0,27,2,5.25
RODRI,3,ESP,224,3,1,0,0.15,1,0,0.1,193,0.92,3,3,13,9.2,2.6,1,0,0,0,10,0,1.78
SERGIO BUSQUETS,3,ESP,398,3,1,0,0.23,3,0,0.27,316,0.89,4,9,29,8.3,3.6,0,0,0,0,28,2,3.97
KOKE,3,ESP,483,7,1,0,0.97,3,0,0.53,409,0.91,11,0,28,8,3.2,0,0,0,0,22,2,3.69
PEDRI,3,ESP,629,0,0,0,0,10,0,1.65,445,0.91,3,4,25,10.2,4.7,0,0,3,0,37,4,7.86
PABLO SARABIA,4,ESP,252,8,4,2,1.77,5,0,1.42,134,0.82,2,2,12,10.1,4.1,1,0,2,1,17,3,4.12
GERARD MORENO,4,ESP,277,15,5,0,2.53,2,1,0.78,113,0.79,2,2,12,9.3,1.6,2,0,2,1,20,1,3.4
FERRAN TORRES,4,ESP,367,8,3,2,1.3,3,1,1.27,129,0.84,4,4,17,10.9,2.5,3,1,1,0,13,3,2.77
DANI OLMO,4,ESP,379,21,7,0,1.68,5,3,1.04,165,0.75,4,5,16,10.9,6.2,3,0,4,1,32,3,4.24
ÁLVARO MORATA,4,ESP,451,18,8,3,3.74,3,0,0.19,136,0.8,4,2,20,10.9,5.7,3,0,2,0,25,5,4.9
MIKEL OYARZABAL,4,ESP,164,9,4,1,0.88,5,0,0.68,85,0.89,0,1,10,11.4,6.7,2,1,3,0,19,1,2.08
MARCOS LLORENTE,3,ESP,245,4,2,0,0.32,5,0,0.7,234,0.93,2,0,13,12.4,7.6,0,0,1,0,17,0,2.83
ERIC GARCÍA,1,ESP,252,1,0,0,0.04,0,0,0.07,286,0.95,1,4,15,10.2,6.8,0,0,0,0,8,1,1.45
PAU TORRES,1,ESP,371,3,1,0,0.73,1,0,0.12,424,0.93,2,1,21,10.2,6.9,0,0,1,0,25,2,4.97
CÉSAR AZPILICUETA,2,ESP,402,5,3,1,1,3,0,0.26,289,0.89,1,1,22,10.7,4.5,0,0,2,0,24,2,2.64
GLEN KAMARA,3,FIN,270,1,1,0,0.06,2,0,0.09,155,0.88,2,10,14,11.3,6.1,0,0,0,0,10,1,0.84
TEEMU PUKKI,4,FIN,240,4,1,0,0.33,3,0,0.2,40,0.73,0,1,7,15.1,10.5,1,0,0,0,9,1,0.92
RASMUS SCHÜLLER,3,FIN,112,0,0,0,0,0,0,0.02,49,0.82,2,6,8,9,-0.2,0,0,0,0,5,0,0.3
TIM SPARV,3,FIN,135,0,0,0,0,0,0,0.01,68,0.88,1,4,9,8.4,1.9,0,0,0,0,1,1,0.34
JOEL POHJANPALO,4,FIN,244,7,1,1,0.78,2,0,0.06,55,0.58,0,1,9,8.1,0.7,1,0,1,0,8,1,0.84
JERE URONEN,2,FIN,250,0,0,0,0,3,1,0.34,89,0.81,1,6,10,8.8,3.1,0,0,2,0,10,1,0.78
JUKKA RAITALA,2,FIN,254,0,0,0,0,0,0,0.03,72,0.79,2,3,7,12.5,9.3,0,0,0,0,3,1,0.48
JOONA TOIVIO,1,FIN,264,1,0,0,0.03,1,0,0.01,111,0.79,3,6,11,9,2.1,0,0,1,0,5,1,0.55
ROBIN LOD,3,FIN,269,2,0,0,0.09,3,0,0.88,95,0.79,6,1,20,10.5,4.3,1,0,0,0,8,1,0.87
DANIEL O'SHAUGHNESSY,1,FIN,270,0,0,0,0,3,0,0.35,125,0.77,1,8,8,9.1,2.9,0,0,0,0,9,1,0.8
PAULUS ARAJUURI,1,FIN,270,1,0,0,0.13,0,0,0.01,91,0.86,0,5,16,9.6,5.3,0,0,0,0,4,1,0.58
PRESNEL KIMPEMBE,1,FRA,390,0,0,0,0,1,0,0.17,274,0.93,3,2,17,10.2,6.1,0,0,0,0,19,1,1.87
RAPHAEL VARANE,1,FRA,390,2,0,0,0.46,1,0,0.09,270,0.94,2,3,20,10.3,6.7,0,0,1,0,20,1,2.17
LUCAS DIGNE,2,FRA,97,0,0,0,0,1,0,0.12,60,0.87,1,2,5,12.7,9.7,0,0,0,0,6,1,1.33
LUCAS HERNÁNDEZ,2,FRA,135,0,0,0,0,0,0,0.01,72,0.85,0,1,8,11.3,3.8,0,0,0,0,2,0,0.1
BENJAMIN PAVARD,2,FRA,300,1,1,0,0.09,1,0,0.07,166,0.9,9,4,9,11.4,9,0,0,0,0,12,0,1.27
ADRIEN RABIOT,3,FRA,304,3,0,0,0.12,1,0,0.12,182,0.89,3,6,23,11.7,7.3,2,0,0,0,18,0,1.11
PAUL POGBA,3,FRA,376,8,2,1,0.37,7,1,1.31,269,0.88,3,4,33,10.4,6.6,2,0,1,0,28,2,2.97
N'GOLO KANTÉ,3,FRA,390,1,0,0,0.03,1,0,0.12,245,0.91,5,14,24,9.6,3.5,0,0,1,0,21,2,2.49
KARIM BENZEMA,4,FRA,349,10,5,3,2.41,3,0,0.39,133,0.87,1,1,12,8.5,1,3,1,0,0,23,3,3.29
ANTOINE GRIEZMANN,4,FRA,355,7,3,1,1.25,7,0,0.51,172,0.87,7,2,8,9.4,2.5,2,0,0,0,25,3,3.61
KYLIAN MBAPPÉ,4,FRA,390,14,3,0,2.02,6,1,0.68,93,0.87,0,1,4,13.2,9.3,2,0,2,0,22,1,3.77
GERGO LOVRENCSICS,2,HON,97,0,0,0,0,1,0,0.08,30,0.67,1,2,9,8,2.6,0,0,0,0,1,0,0.05
